Device_id,Component,Timestamp(us),Total Reserved(MB),Device
0,SLOG,1773307480213395.860	,0.0,NPU:0
0,SLOG,1773307480233404.210	,0.0,NPU:0
0,SLOG,1773307480253381.810	,0.0,NPU:0
0,SLOG,1773307480273387.780	,0.0,NPU:0
0,SLOG,1773307480286801.250	,0.0,NPU:0
0,IDEDD,1773307480213395.860	,0.0,NPU:0
0,IDEDD,1773307480233404.210	,0.0,NPU:0
0,IDEDD,1773307480253381.810	,0.0,NPU:0
0,IDEDD,1773307480273387.780	,0.0,NPU:0
0,IDEDD,1773307480286801.250	,0.0,NPU:0
0,SCC,1773307480213395.860	,0.0,NPU:0
0,SCC,1773307480233404.210	,0.0,NPU:0
0,SCC,1773307480253381.810	,0.0,NPU:0
0,SCC,1773307480273387.780	,0.0,NPU:0
0,SCC,1773307480286801.250	,0.0,NPU:0
0,HCCL,1773307480213395.860	,0.0,NPU:0
0,HCCL,1773307480233404.210	,0.0,NPU:0
0,HCCL,1773307480253381.810	,0.0,NPU:0
0,HCCL,1773307480273387.780	,0.0,NPU:0
0,HCCL,1773307480286801.250	,0.0,NPU:0
0,FMK,1773307480213395.860	,0.0,NPU:0
0,FMK,1773307480233404.210	,0.0,NPU:0
0,FMK,1773307480253381.810	,0.0,NPU:0
0,FMK,1773307480273387.780	,0.0,NPU:0
0,FMK,1773307480286801.250	,0.0,NPU:0
0,CCU,1773307480213395.860	,0.0,NPU:0
0,CCU,1773307480233404.210	,0.0,NPU:0
0,CCU,1773307480253381.810	,0.0,NPU:0
0,CCU,1773307480273387.780	,0.0,NPU:0
0,CCU,1773307480286801.250	,0.0,NPU:0
0,DVPP,1773307480213395.860	,0.0,NPU:0
0,DVPP,1773307480233404.210	,0.0,NPU:0
0,DVPP,1773307480253381.810	,0.0,NPU:0
0,DVPP,1773307480273387.780	,0.0,NPU:0
0,DVPP,1773307480286801.250	,0.0,NPU:0
0,RUNTIME,1773307480213395.860	,36.2265625,NPU:0
0,RUNTIME,1773307480233404.210	,36.2265625,NPU:0
0,RUNTIME,1773307480253381.810	,36.2265625,NPU:0
0,RUNTIME,1773307480273387.780	,36.2265625,NPU:0
0,RUNTIME,1773307480286801.250	,36.2265625,NPU:0
0,CCE,1773307480213395.860	,0.0,NPU:0
0,CCE,1773307480233404.210	,0.0,NPU:0
0,CCE,1773307480253381.810	,0.0,NPU:0
0,CCE,1773307480273387.780	,0.0,NPU:0
0,CCE,1773307480286801.250	,0.0,NPU:0
0,HDC,1773307480213395.860	,0.0,NPU:0
0,HDC,1773307480233404.210	,0.0,NPU:0
0,HDC,1773307480253381.810	,0.0,NPU:0
0,HDC,1773307480273387.780	,0.0,NPU:0
0,HDC,1773307480286801.250	,0.0,NPU:0
0,DRV,1773307480213395.860	,0.0,NPU:0
0,DRV,1773307480233404.210	,0.0,NPU:0
0,DRV,1773307480253381.810	,0.0,NPU:0
0,DRV,1773307480273387.780	,0.0,NPU:0
0,DRV,1773307480286801.250	,0.0,NPU:0
0,NET,1773307480213395.860	,0.0,NPU:0
0,NET,1773307480233404.210	,0.0,NPU:0
0,NET,1773307480253381.810	,0.0,NPU:0
0,NET,1773307480273387.780	,0.0,NPU:0
0,NET,1773307480286801.250	,0.0,NPU:0
0,Unknown,1773307480213395.860	,0.0,NPU:0
0,Unknown,1773307480233404.210	,0.0,NPU:0
0,Unknown,1773307480253381.810	,0.0,NPU:0
0,Unknown,1773307480273387.780	,0.0,NPU:0
0,Unknown,1773307480286801.250	,0.0,NPU:0
0,Unknown,1773307480213395.860	,0.0,NPU:0
0,Unknown,1773307480233404.210	,0.0,NPU:0
0,Unknown,1773307480253381.810	,0.0,NPU:0
0,Unknown,1773307480273387.780	,0.0,NPU:0
0,Unknown,1773307480286801.250	,0.0,NPU:0
