Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
0,5,545.6599999999999,0,0,0,4225.360000000001,4771.0,0,0,421.5
0,6,534.66,0,0,0,3979.9000000000005,4514.5,0,0,334.0
0,7,535.3,0,0,0,4017.86,4553.0,0,0,325.0
0,8,531.52,0,0,0,3891.38,4422.75,0,0,332.5
0,9,536.9600000000002,0,0,0,3256.0800000000013,3793.25,0,0,311.25
