Device_id,Component,Timestamp(us),Total Reserved(MB),Device
0,SLOG,1773303881850306.220	,0.0,NPU:0
0,SLOG,1773303881870285.400	,0.0,NPU:0
0,SLOG,1773303881890278.560	,0.0,NPU:0
0,SLOG,1773303881910262.120	,0.0,NPU:0
0,SLOG,1773303881930276.420	,0.0,NPU:0
0,SLOG,1773303881932130.970	,0.0,NPU:0
0,IDEDD,1773303881850306.220	,0.0,NPU:0
0,IDEDD,1773303881870285.400	,0.0,NPU:0
0,IDEDD,1773303881890278.560	,0.0,NPU:0
0,IDEDD,1773303881910262.120	,0.0,NPU:0
0,IDEDD,1773303881930276.420	,0.0,NPU:0
0,IDEDD,1773303881932130.970	,0.0,NPU:0
0,SCC,1773303881850306.220	,0.0,NPU:0
0,SCC,1773303881870285.400	,0.0,NPU:0
0,SCC,1773303881890278.560	,0.0,NPU:0
0,SCC,1773303881910262.120	,0.0,NPU:0
0,SCC,1773303881930276.420	,0.0,NPU:0
0,SCC,1773303881932130.970	,0.0,NPU:0
0,HCCL,1773303881850306.220	,0.0,NPU:0
0,HCCL,1773303881870285.400	,0.0,NPU:0
0,HCCL,1773303881890278.560	,0.0,NPU:0
0,HCCL,1773303881910262.120	,0.0,NPU:0
0,HCCL,1773303881930276.420	,0.0,NPU:0
0,HCCL,1773303881932130.970	,0.0,NPU:0
0,FMK,1773303881850306.220	,0.0,NPU:0
0,FMK,1773303881870285.400	,0.0,NPU:0
0,FMK,1773303881890278.560	,0.0,NPU:0
0,FMK,1773303881910262.120	,0.0,NPU:0
0,FMK,1773303881930276.420	,0.0,NPU:0
0,FMK,1773303881932130.970	,0.0,NPU:0
0,CCU,1773303881850306.220	,0.0,NPU:0
0,CCU,1773303881870285.400	,0.0,NPU:0
0,CCU,1773303881890278.560	,0.0,NPU:0
0,CCU,1773303881910262.120	,0.0,NPU:0
0,CCU,1773303881930276.420	,0.0,NPU:0
0,CCU,1773303881932130.970	,0.0,NPU:0
0,DVPP,1773303881850306.220	,0.0,NPU:0
0,DVPP,1773303881870285.400	,0.0,NPU:0
0,DVPP,1773303881890278.560	,0.0,NPU:0
0,DVPP,1773303881910262.120	,0.0,NPU:0
0,DVPP,1773303881930276.420	,0.0,NPU:0
0,DVPP,1773303881932130.970	,0.0,NPU:0
0,RUNTIME,1773303881850306.220	,36.2265625,NPU:0
0,RUNTIME,1773303881870285.400	,36.2265625,NPU:0
0,RUNTIME,1773303881890278.560	,36.2265625,NPU:0
0,RUNTIME,1773303881910262.120	,36.2265625,NPU:0
0,RUNTIME,1773303881930276.420	,36.2265625,NPU:0
0,RUNTIME,1773303881932130.970	,36.2265625,NPU:0
0,CCE,1773303881850306.220	,0.0,NPU:0
0,CCE,1773303881870285.400	,0.0,NPU:0
0,CCE,1773303881890278.560	,0.0,NPU:0
0,CCE,1773303881910262.120	,0.0,NPU:0
0,CCE,1773303881930276.420	,0.0,NPU:0
0,CCE,1773303881932130.970	,0.0,NPU:0
0,HDC,1773303881850306.220	,0.0,NPU:0
0,HDC,1773303881870285.400	,0.0,NPU:0
0,HDC,1773303881890278.560	,0.0,NPU:0
0,HDC,1773303881910262.120	,0.0,NPU:0
0,HDC,1773303881930276.420	,0.0,NPU:0
0,HDC,1773303881932130.970	,0.0,NPU:0
0,DRV,1773303881850306.220	,0.0,NPU:0
0,DRV,1773303881870285.400	,0.0,NPU:0
0,DRV,1773303881890278.560	,0.0,NPU:0
0,DRV,1773303881910262.120	,0.0,NPU:0
0,DRV,1773303881930276.420	,0.0,NPU:0
0,DRV,1773303881932130.970	,0.0,NPU:0
0,NET,1773303881850306.220	,0.0,NPU:0
0,NET,1773303881870285.400	,0.0,NPU:0
0,NET,1773303881890278.560	,0.0,NPU:0
0,NET,1773303881910262.120	,0.0,NPU:0
0,NET,1773303881930276.420	,0.0,NPU:0
0,NET,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
0,Unknown,1773303881930276.420	,0.0,NPU:0
0,Unknown,1773303881932130.970	,0.0,NPU:0
0,Unknown,1773303881850306.220	,0.0,NPU:0
0,Unknown,1773303881870285.400	,0.0,NPU:0
0,Unknown,1773303881890278.560	,0.0,NPU:0
0,Unknown,1773303881910262.120	,0.0,NPU:0
